WMO,grid_kind,tier
1901339,paper_bbp,1
1901378,paper_nit,1
1902304,paper_all,1
1902332,paper_all,1
1902380,paper_all,1
1902381,paper_all,1
1902382,paper_all,1
1902383,paper_all,1
1902453,paper_all,1
1902454,paper_all,1
1902455,paper_all,1
1902456,paper_all,1
1902457,paper_all,1
1902459,paper_all,1
1902490,paper_all,1
1902491,paper_all,1
1902493,paper_all,1
1902494,paper_all,1
1902495,paper_all,1
1902497,paper_all,1
1902498,paper_all,1
1902593,paper_all,1
1902602,paper_bbp,1
1902643,paper_all,1
1902644,paper_all,1
1902802,paper_all,1
2902092,paper_bbp,1
2902093,paper_bbp,1
2902195,paper_bbp,1
2902204,paper_bbp,1
2902272,paper_bbp,1
2902273,paper_bbp,1
2902275,paper_all,1
2902276,paper_bbp,1
2902277,paper_bbp,1
2902294,paper_bbp,1
2902295,paper_bbp,1
2902296,paper_bbp,1
2902299,paper_bbp,1
2902762,paper_all,1
2903329,paper_all,1
2903330,paper_all,1
2903392,paper_bbp,1
2903394,paper_all,1
2903395,paper_all,1
2903442,paper_all,1
2903451,paper_all,1
2903453,paper_all,1
2903454,paper_all,1
2903455,paper_all,1
2903456,paper_all,1
2903457,paper_all,1
2903458,paper_nit,1
2903461,paper_all,1
2903462,paper_all,1
2903463,paper_all,1
2903464,paper_all,1
2903465,paper_all,1
2903466,paper_all,1
2903467,paper_all,1
2903468,paper_all,1
2903471,paper_all,1
2903472,paper_all,1
2903473,paper_all,1
2903474,paper_all,1
2903669,paper_bbp,1
2903672,paper_all,1
2903794,paper_all,1
2903826,paper_all,1
2903832,paper_all,1
2903854,paper_all,1
2903856,paper_all,1
2903858,paper_all,1
2903864,paper_all,1
2903865,paper_all,1
2903866,paper_all,1
2903867,paper_all,1
2903869,paper_all,1
2903921,paper_all,1
2903937,paper_all,1
2904012,paper_all,1
3901497,paper_bbp,1
3901578,paper_all,1
3901580,paper_all,1
3901581,paper_all,1
3901582,paper_all,1
3901583,paper_all,1
3901584,paper_all,1
3901586,paper_all,1
3902120,paper_all,1
3902121,paper_all,1
3902122,paper_all,1
3902125,paper_all,1
3902258,paper_all,1
3902259,paper_all,1
3902260,paper_all,1
3902261,paper_all,1
3902331,paper_all,1
3902332,paper_all,1
3902333,paper_all,1
3902334,paper_all,1
3902554,paper_all,1
3902556,paper_all,1
3902559,paper_all,1
3902589,paper_all,1
3902688,paper_all,1
4901802,paper_all,1
4901803,paper_bbp,1
4901805,paper_all,1
4903026,paper_all,1
4903365,paper_all,1
4903456,paper_all,1
4903459,paper_all,1
4903462,paper_all,1
4903463,paper_all,1
4903485,paper_all,1
4903486,paper_all,1
4903488,paper_all,1
4903499,paper_all,1
4903532,paper_all,1
4903571,paper_all,1
4903622,paper_all,1
4903659,paper_all,1
4903662,paper_all,1
4903744,paper_all,1
4903750,paper_all,1
4903751,paper_all,1
4903752,paper_all,1
4903755,paper_all,1
4903757,paper_all,1
4903830,paper_all,1
4903868,paper_all,1
4903913,paper_all,1
5902112,paper_nit,1
5903274,paper_all,1
5903377,paper_nit,1
5903586,paper_all,1
5903592,paper_all,1
5903593,paper_all,1
5903594,paper_nit,1
5903612,paper_all,1
5903629,paper_bbp,1
5903649,paper_bbp,1
5903678,paper_bbp,1
5903679,paper_bbp,1
5903718,paper_all,1
5903755,paper_nit,1
5903887,paper_all,1
5904021,paper_all,1
5904034,paper_nit,1
5904094,paper_nit,1
5904104,paper_all,1
5904105,paper_all,1
5904108,paper_nit,1
5904179,paper_all,1
5904185,paper_all,1
5904188,paper_all,1
5904395,paper_all,1
5904396,paper_all,1
5904397,paper_all,1
5904467,paper_all,1
5904468,paper_all,1
5904470,paper_all,1
5904471,paper_all,1
5904472,paper_all,1
5904473,paper_all,1
5904474,paper_all,1
5904475,paper_all,1
5904476,paper_all,1
5904477,paper_all,1
5904479,paper_all,1
5904657,paper_nit,1
5904659,paper_all,1
5904660,paper_all,1
5904661,paper_all,1
5904662,paper_nit,1
5904663,paper_nit,1
5904670,paper_all,1
5904671,paper_all,1
5904672,paper_all,1
5904673,paper_all,1
5904676,paper_all,1
5904677,paper_all,1
5904678,paper_all,1
5904679,paper_all,1
5904680,paper_all,1
5904682,paper_all,1
5904683,paper_all,1
5904684,paper_all,1
5904686,paper_all,1
5904688,paper_all,1
5904693,paper_all,1
5904694,paper_nit,1
5904695,paper_nit,1
5904761,paper_all,1
5904763,paper_all,1
5904765,paper_all,1
5904766,paper_all,1
5904767,paper_all,1
5904842,paper_all,1
5904844,paper_all,1
5904845,paper_all,1
5904846,paper_all,1
5904854,paper_all,1
5904856,paper_all,1
5904857,paper_all,1
5904882,paper_bbp,1
5904923,paper_bbp,1
5904924,paper_bbp,1
5904980,paper_all,1
5904982,paper_all,1
5904984,paper_all,1
5905023,paper_bbp,1
5905069,paper_all,1
5905070,paper_all,1
5905071,paper_all,1
5905072,paper_all,1
5905073,paper_all,1
5905076,paper_all,1
5905079,paper_all,1
5905080,paper_all,1
5905099,paper_all,1
5905100,paper_all,1
5905102,paper_all,1
5905103,paper_all,1
5905105,paper_all,1
5905106,paper_all,1
5905108,paper_all,1
5905109,paper_all,1
5905130,paper_all,1
5905131,paper_all,1
5905132,paper_all,1
5905133,paper_all,1
5905134,paper_all,1
5905135,paper_all,1
5905139,paper_bbp,1
5905140,paper_bbp,1
5905165,paper_bbp,1
5905167,paper_bbp,1
5905194,paper_bbp,1
5905197,paper_bbp,1
5905368,paper_all,1
5905371,paper_all,1
5905372,paper_all,1
5905373,paper_all,1
5905374,paper_all,1
5905375,paper_all,1
5905376,paper_all,1
5905377,paper_all,1
5905378,paper_all,1
5905396,paper_all,1
5905397,paper_all,1
5905441,paper_all,1
5905442,paper_all,1
5905501,paper_all,1
5905505,paper_all,1
5905531,paper_all,1
5905553,paper_all,1
5905555,paper_bbp,1
5905556,paper_bbp,1
5905638,paper_all,1
5905969,paper_bbp,1
5905970,paper_bbp,1
5905971,paper_bbp,1
5905980,paper_all,1
5905982,paper_all,1
5905984,paper_all,1
5905985,paper_all,1
5905991,paper_all,1
5905992,paper_all,1
5905993,paper_all,1
5905995,paper_all,1
5905996,paper_all,1
5905997,paper_all,1
5905998,paper_all,1
5906000,paper_all,1
5906001,paper_all,1
5906003,paper_all,1
5906004,paper_all,1
5906006,paper_all,1
5906026,paper_all,1
5906030,paper_all,1
5906031,paper_all,1
5906032,paper_all,1
5906033,paper_all,1
5906034,paper_all,1
5906035,paper_all,1
5906036,paper_all,1
5906039,paper_all,1
5906043,paper_bbp,1
5906044,paper_bbp,1
5906045,paper_nit,1
5906204,paper_all,1
5906206,paper_all,1
5906207,paper_all,1
5906208,paper_all,1
5906209,paper_all,1
5906212,paper_all,1
5906213,paper_all,1
5906214,paper_all,1
5906217,paper_nit,1
5906219,paper_all,1
5906220,paper_all,1
5906222,paper_nit,1
5906224,paper_nit,1
5906226,paper_all,1
5906227,paper_all,1
5906235,paper_bbp,1
5906238,paper_bbp,1
5906244,paper_all,1
5906245,paper_all,1
5906246,paper_all,1
5906248,paper_all,1
5906249,paper_all,1
5906293,paper_all,1
5906294,paper_all,1
5906295,paper_all,1
5906296,paper_all,1
5906297,paper_all,1
5906301,paper_bbp,1
5906303,paper_bbp,1
5906305,paper_all,1
5906307,paper_all,1
5906308,paper_all,1
5906310,paper_all,1
5906311,paper_all,1
5906312,paper_all,1
5906314,paper_all,1
5906315,paper_all,1
5906316,paper_all,1
5906317,paper_all,1
5906319,paper_all,1
5906339,paper_all,1
5906340,paper_all,1
5906434,paper_all,1
5906435,paper_all,1
5906436,paper_all,1
5906437,paper_all,1
5906438,paper_all,1
5906440,paper_all,1
5906441,paper_all,1
5906442,paper_all,1
5906443,paper_all,1
5906444,paper_all,1
5906448,paper_all,1
5906469,paper_all,1
5906470,paper_all,1
5906471,paper_all,1
5906472,paper_all,1
5906473,paper_all,1
5906474,paper_all,1
5906475,paper_all,1
5906476,paper_all,1
5906487,paper_all,1
5906488,paper_all,1
5906489,paper_all,1
5906490,paper_all,1
5906491,paper_all,1
5906492,paper_all,1
5906496,paper_all,1
5906498,paper_all,1
5906500,paper_all,1
5906501,paper_all,1
5906507,paper_all,1
5906508,paper_all,1
5906509,paper_all,1
5906511,paper_all,1
5906513,paper_all,1
5906515,paper_all,1
5906518,paper_all,1
5906522,paper_all,1
5906524,paper_all,1
5906525,paper_all,1
5906526,paper_all,1
5906527,paper_nit,1
5906530,paper_all,1
5906535,paper_all,1
5906536,paper_all,1
5906537,paper_all,1
