WMO,CYCLE_NUMBER,PRES_ADJUSTED,REF_LABEL,score,tier
5904663,105.0,220.0,0,0.22582125281450321,borderline
7900585,149.0,220.0,1,0.3339720463631218,borderline
5906224,16.0,180.0,0,0.305631290199926,borderline
2903865,15.0,300.0,0,0.35168067402506226,borderline
5906524,47.0,460.0,1,0.9435663156757496,clear_TP
4903659,30.0,500.0,1,0.8081287479420161,clear_TP
3901581,23.0,340.0,1,0.7264945535083063,clear_TP
5905134,5.0,220.0,0,0.4599254194140627,borderline
6902544,103.0,260.0,1,0.28490803455894154,borderline
5906319,104.0,180.0,0,0.0018789410999449359,clear_FP
5906552,112.0,300.0,0,0.0037038460857910117,clear_FP
7901095,84.0,220.0,0,0.23014918168671608,borderline
4903755,28.0,260.0,1,0.6556768748045405,clear_TP
5906540,124.0,220.0,0,0.02067771776903408,clear_FP
5904854,139.0,300.0,0,0.22156234290689528,borderline
5906045,215.0,180.0,0,0.00042342438746939803,clear_FP
5905072,75.0,380.0,1,0.4159766228554433,borderline
3902332,14.0,260.0,0,0.5239070527511883,borderline
5904678,152.0,460.0,0,0.48564017254608666,borderline
6901582,183.0,220.0,1,0.9441008523940696,clear_TP
5906032,17.0,300.0,0,0.37525290812827145,borderline
5906207,126.0,460.0,1,0.9194376658714438,clear_TP
6901774,190.0,340.0,0,0.000851833918098684,clear_FP
5906224,56.0,500.0,1,0.9257489302457687,clear_TP
5905071,62.0,220.0,0,0.008184982239918039,clear_FP
5905995,41.0,220.0,0,0.003122589755446133,clear_FP
5906249,69.0,460.0,0,0.49297282247822055,borderline
5906303,22.0,180.0,0,0.0012417847234975977,clear_FP
5903593,58.0,260.0,1,0.8751368999216388,clear_TP
5906501,68.0,300.0,0,0.27559077966628653,borderline
5904397,88.0,220.0,0,0.0025038895893072116,clear_FP
7900561,75.0,260.0,0,0.0652562900811772,clear_FP
5906031,64.0,180.0,0,0.24491617979807087,borderline
5905396,107.0,380.0,1,0.24628586377023223,borderline
5904761,45.0,220.0,1,0.4671625801862393,borderline
5905099,89.0,260.0,1,0.9514061651638351,clear_TP
5906486,10.0,180.0,0,0.0032698526765093483,clear_FP
4903532,33.0,500.0,0,0.03190496762998659,clear_FP
4903365,57.0,260.0,1,0.6125781255715359,clear_TP
6903555,60.0,420.0,1,0.762940184431733,clear_TP
5904693,143.0,460.0,1,0.9586743949720602,clear_TP
6901578,275.0,460.0,1,0.3603960991185195,borderline
